,RAdeg,DEdeg
295,227.0613504,57.89178270000001
299,238.1345929,62.0544767
303,218.8387509,55.1413497
306,223.2487748,58.0365774
309,246.90343489999998,65.3963172
310,223.81618219999996,58.875241
311,248.9776437,66.20231360000001
312,231.0525489,62.022709400000004
316,216.77906940000003,55.7497044
319,238.03781940000002,65.3405399
322,217.1485398,56.876583499999995
323,248.6713702,67.6422796
325,213.6782168,54.78357439999999
327,239.0257278,66.3544668
332,261.92800980000004,70.5941469
342,236.709588,69.944118
347,212.5897378,59.680120200000005
348,284.29229560000005,74.9308604
349,216.3149012,63.185992399999996
358,207.2301211,57.3468712
359,216.7773374,65.65281139999999
364,275.83303539999997,78.3892813
365,209.9355974,62.527950100000005
368,256.1004654,78.6324689
372,203.9932388,59.2209707
375,213.53322290000003,71.2822934
388,213.3063164,74.2920474
390,209.9422379,72.1211964
397,238.7603531,84.163702
399,205.4878996,74.4514115
400,208.6942852,77.2477318
401,261.2307967,85.8912428
402,198.5514249,64.5642919
404,199.9846329,70.0739098
408,195.88693700000002,67.441544
409,194.5722833,65.3599587
416,187.94361659999998,82.4100317
430,181.7468564,71.6464721
432,179.0066067,73.5113439
438,171.9215869,71.0596055
133,216.63471119999997,51.252089700000006
146,215.56976009999997,54.9011005
147,222.82705019999997,59.3306488
150,257.6109137,68.7320602
153,258.4192833,69.37342559999999
158,239.48193849999998,70.3849381
160,238.1512045,70.5333574
164,282.1361085,75.0586641
172,245.10213810000002,79.18157420000001
173,209.74444049999997,67.44308609999999
179,201.02018930000003,68.66901379999999
181,200.80333230000002,69.36349799999999
182,199.11913140000001,72.5242086
185,198.161655,72.8898531
189,185.9744321,86.47086490000001
194,175.51362269999998,83.47784200000001
196,171.3945938,83.9580908
206,161.7858341,78.03349240000001
528,172.005,75.49
535,173.488,75.116
555,177.918,81.077
591,184.31099999999998,69.67
597,185.072,75.37
601,185.52900000000002,75.438
604,186.07299999999998,75.527
634,191.52200000000002,70.965
657,194.334,69.506
690,201.312,65.84100000000001
698,202.493,58.568999999999996
699,202.74599999999998,58.248999999999995
701,202.87900000000002,62.64
726,205.86599999999999,55.782
727,205.93900000000002,55.638999999999996
736,207.71,60.126000000000005
739,208.705,69.289
740,209.331,62.545
742,209.892,62.317
750,212.56599999999997,59.641000000000005
752,212.852,52.211000000000006
763,214.747,49.05
766,215.398,49.552
782,219.243,55.129
783,219.71099999999998,64.39399999999999
785,221.02700000000002,63.748000000000005
810,228.55599999999998,55.464
812,228.73,55.691
829,232.016,69.942
837,235.042,66.188
839,235.295,66.442
847,239.792,63.885
853,241.382,72.14699999999999
860,243.604,68.428
879,250.296,82.541
898,254.90400000000002,68.438
917,259.54200000000003,78.02199999999999
918,260.353,67.554
922,261.048,70.007
923,261.067,69.946
926,262.165,70.685
927,262.253,74.678
928,262.621,74.375
944,267.173,70.342
945,267.265,70.245
1008,280.878,79.832
1015,286.433,78.083
1027,295.42900000000003,77.16199999999999
1033,300.66,77.896
1038,302.476,77.742
